arm,time,objective
scip,0.0,1e+20
scip,0.0,13168.0
scip,0.0,13069.0
scip,0.0,10860.0
cuopt,0.11,11226.0
cuopt,0.11,11211.0
cuopt,0.12,11187.0
cuopt,0.12,11186.0
cuopt,0.12,11172.0
cuopt,0.13,11168.0
cuopt,0.13,11159.0
cuopt,0.14,11154.0
cuopt,0.17,11151.0
cuopt,0.17,11145.0
cuopt,0.2,11142.0
cuopt,0.21,11134.0
cuopt,0.22,11117.0
cuopt,0.26,11108.0
cuopt,0.45,11103.0
cuopt,0.45,11102.0
cuopt,0.47,11101.0
cuopt,0.72,11100.0
cuopt,0.78,11099.0
cuopt,0.79,11096.0
cuopt,0.86,11094.0
cuopt,1.02,10922.0
cuopt,2.29,10906.0
cuopt,6.22,10849.0
cuopt,9.85,10793.0
cuopt,9.87,10788.0
cuopt,13.18,10782.0
cuopt,13.21,10777.0
cuopt,13.23,10769.0
cuopt,13.25,10762.0
cuopt,13.27,10758.0
cuopt,13.29,10741.0
hybrid,1.0,10901.0
hybrid,1.0,10860.0
